participant,condition,problem,problem_id,identified_fault,fixed_fault,time
P1,TD,accumulate,499,1,1,237
P1,TD,accumulate,29,1,0,210
P1,PT,repeated,22,0,0,600
P1,PT,repeated,229,1,1,148
P2,PT,accumulate,499,1,1,476
P2,PT,accumulate,29,1,1,278
P2,TD,repeated,22,1,1,600
P2,TD,repeated,229,0,0,323
P3,PT,product,260,1,0,258
P3,PT,product,0,1,1,105
P3,TD,repeated,229,0,0,600
P3,TD,repeated,22,0,0,600
P4,TD,product,0,1,1,39
P4,TD,product,260,1,1,120
P4,PT,repeated,229,1,1,403
P4,PT,repeated,22,0,0,450
P5,TD,accumulate,29,1,0,331
P5,TD,accumulate,499,1,0,219
P5,PT,repeated,22,0,0,281
P5,PT,repeated,229,1,1,104
P6,TD,product,260,1,1,307
P6,TD,product,0,1,1,240
P6,PT,repeated,229,0,0,600
P6,PT,repeated,22,0,0,298
P7,PT,accumulate,29,1,1,415
P7,PT,accumulate,499,1,1,597
P7,TD,repeated,229,1,1,451
P7,TD,repeated,22,1,1,479
P8,PT,product,0,1,1,79
P8,PT,product,260,1,1,233
P8,TD,repeated,22,1,1,596
P8,TD,repeated,229,1,1,459
P9,TD,product,0,1,1,138
P9,TD,product,260,1,0,499
P9,PT,repeated,22,0,0,600
P9,PT,repeated,229,1,1,519
P10,PT,accumulate,499,1,0,568
P10,PT,accumulate,29,1,1,316
P10,TD,repeated,229,1,1,235
P10,TD,repeated,22,0,0,366
P11,TD,accumulate,29,1,1,236
P11,TD,accumulate,499,1,1,346
P11,PT,repeated,229,1,1,164
P11,PT,repeated,22,1,0,513
P12,PT,product,0,1,1,278
P12,PT,product,260,1,0,333
P12,TD,repeated,229,1,1,397
P12,TD,repeated,22,1,1,599
P13,PT,accumulate,29,1,1,267
P13,PT,accumulate,499,1,1,184
P13,TD,repeated,229,1,1,115
P13,TD,repeated,22,0,0,561
P14,TD,product,260,1,1,245
P14,TD,product,0,1,1,145
P14,PT,repeated,22,0,0,478
P14,PT,repeated,229,1,1,439
P15,PT,product,260,1,0,332
P15,PT,product,0,1,1,139
P15,TD,repeated,22,0,0,600
P15,TD,repeated,229,1,1,281
P16,TD,accumulate,499,1,1,375
P16,TD,accumulate,29,1,1,145
P16,PT,repeated,229,1,1,174
P16,PT,repeated,22,0,0,446
P17,PT,accumulate,29,1,1,464
P17,PT,accumulate,499,1,1,599
P17,TD,repeated,22,1,1,573
P17,TD,repeated,229,1,1,369